stadt,bundesland,anteil
Berlin,Berlin,38.7
Hamburg,Hamburg,25.0
München,Bayern,60.0
Köln,Nordrhein-Westfalen,22.6
Frankfurt,Hessen,58.0
Bremen,Bremen,18.1
Stuttgart,Baden-Württemberg,34.0
Düsseldorf,Nordrhein-Westfalen,22.6
Dortmund,Nordrhein-Westfalen,22.6
Essen,Nordrhein-Westfalen,22.6
Dresden,Sachsen,9.0
Leipzig,Sachsen,9.0
Hannover,Niedersachsen,64.0
Nürnberg,Bayern,60.0
Duisburg,Nordrhein-Westfalen,22.6
Bochum,Nordrhein-Westfalen,22.6
Wuppertal,Nordrhein-Westfalen,22.6
Bielefeld,Nordrhein-Westfalen,22.6
Bonn,Nordrhein-Westfalen,22.6
Münster,Nordrhein-Westfalen,22.6
Karlsruhe,Baden-Württemberg,34.0
Mannheim,Baden-Württemberg,34.0
Augsburg,Bayern,60.0
Wiesbaden,Hessen,58.0
Mönchengladbach,Nordrhein-Westfalen,22.6
Gelsenkirchen,Nordrhein-Westfalen,22.6
Braunschweig,Niedersachsen,64.0
Kiel,Schleswig-Holstein,100.0
Aachen,Nordrhein-Westfalen,22.6
Chemnitz,Sachsen,9.0
Halle,Sachsen-Anhalt,61.5
Magdeburg,Sachsen-Anhalt,61.5
Freiburg im Breisgau,Baden-Württemberg,34.0
Krefeld,Nordrhein-Westfalen,22.6
Lübeck,Schleswig-Holstein,100.0
Oberhausen,Nordrhein-Westfalen,22.6
Rostock,Mecklenburg-Vorpommern,100.0
Erfurt,Thüringen,63.9
Kassel,Hessen,58.0
Hagen,Nordrhein-Westfalen,22.6
Mainz,Rheinland-Pfalz,37.3
Saarbrücken,Saarland,20.0
Hamm,Nordrhein-Westfalen,22.6
Potsdam,Brandenburg,90.1
Ludwigshafen,Rheinland-Pfalz,37.3
Mülheim,Nordrhein-Westfalen,22.6
Oldenburg,Niedersachsen,64.0
Osnabrück,Niedersachsen,64.0
Leverkusen,Nordrhein-Westfalen,22.6
Heidelberg,Baden-Württemberg,34.0
Solingen,Nordrhein-Westfalen,22.6
Darmstadt,Hessen,58.0
Herne,Nordrhein-Westfalen,22.6
Neuss,Nordrhein-Westfalen,22.6
Regensburg,Bayern,60.0
Paderborn,Nordrhein-Westfalen,22.6
Ingolstadt,Bayern,60.0
Würzburg,Bayern,60.0
Fürth,Bayern,60.0
Ulm,Baden-Württemberg,34.0
Heilbronn,Baden-Württemberg,34.0
Pforzheim,Baden-Württemberg,34.0
Wolfsburg,Niedersachsen,64.0
Göttingen,Niedersachsen,64.0
Bottrop,Nordrhein-Westfalen,22.6
Reutlingen,Baden-Württemberg,34.0
Koblenz,Rheinland-Pfalz,37.3
Bremerhaven,Bremen,18.1
Recklinghausen,Nordrhein-Westfalen,22.6
Bergisch Gladbach,Nordrhein-Westfalen,22.6
Erlangen,Bayern,60.0
Jena,Thüringen,63.9
Remscheid,Nordrhein-Westfalen,22.6
Trier,Rheinland-Pfalz,37.3
Salzgitter,Niedersachsen,64.0
Moers,Nordrhein-Westfalen,22.6
Siegen,Nordrhein-Westfalen,22.6
Hildesheim,Niedersachsen,64.0
Cottbus,Brandenburg,90.1
Gütersloh,Nordrhein-Westfalen,22.6
Kaiserslautern,Rheinland-Pfalz,37.3
Witten,Nordrhein-Westfalen,22.6
Hanau,Hessen,58.0
Schwerin,Mecklenburg-Vorpommern,100.0
Gera,Thüringen,63.9
Esslingen,Baden-Württemberg,34.0
Ludwigsburg,Baden-Württemberg,34.0
Iserlohn,Nordrhein-Westfalen,22.6
Düren,Nordrhein-Westfalen,22.6
Tübingen,Baden-Württemberg,34.0
Flensburg,Schleswig-Holstein,100.0
Zwickau,Sachsen,9.0
Gießen,Hessen,58.0
Ratingen,Nordrhein-Westfalen,22.6
Lünen,Nordrhein-Westfalen,22.6
Villingen-Schwenningen,Baden-Württemberg,34.0
Konstanz,Baden-Württemberg,34.0
Marl,Nordrhein-Westfalen,22.6
Worms,Rheinland-Pfalz,37.3
Velbert,Nordrhein-Westfalen,22.6
Minden,Nordrhein-Westfalen,22.6
Dessau-Roßlau,Sachsen-Anhalt,61.5
Neumünster,Schleswig-Holstein,100.0
